,overall_rating,potential,wage,release_clause_euro,reactions,value
86,64,83,6000.0,2200000.0,53,925000.0
87,71,72,18000.0,5400000.0,69,2700000.0
88,74,75,12000.0,8400000.0,70,5000000.0
89,53,67,1000.0,206000.0,47,110000.0
90,72,72,15000.0,4000000.0,70,2000000.0
91,66,66,2000.0,761000.0,62,525000.0
92,64,69,3000.0,1100000.0,54,500000.0
93,70,70,3000.0,4622436.456796832,63,1700000.0
94,65,73,2000.0,1200000.0,65,675000.0
95,52,56,2000.0,134000.0,48,60000.0
96,70,70,6000.0,2500000.0,71,1700000.0
97,57,60,1000.0,237000.0,46,130000.0
98,63,74,2000.0,1100000.0,56,500000.0
99,68,70,3000.0,1600000.0,63,875000.0
100,51,69,1000.0,166000.0,49,70000.0
101,68,69,2000.0,1800000.0,63,1000000.0
102,71,81,6000.0,5300000.0,64,3300000.0
103,53,71,1000.0,237000.0,50,120000.0
104,55,65,1000.0,215000.0,41,130000.0
105,73,73,6000.0,5700000.0,63,2700000.0
106,70,70,19000.0,4622436.456796832,68,1900000.0
107,67,67,11000.0,950000.0,63,500000.0
108,72,77,8000.0,5500000.0,69,3500000.0
109,58,72,1000.0,469000.0,51,250000.0
110,69,69,9000.0,1300000.0,71,800000.0
111,70,70,6000.0,180000.0,64,120000.0
112,65,77,3000.0,2000000.0,64,950000.0
113,68,69,8000.0,1500000.0,69,875000.0
114,60,68,2000.0,648000.0,54,270000.0
115,52,60,1000.0,102000.0,54,70000.0
116,71,71,4000.0,2000000.0,63,1600000.0
117,59,59,1000.0,113000.0,58,90000.0
118,53,59,2000.0,137000.0,51,70000.0
119,65,65,3000.0,788000.0,57,450000.0
120,51,58,1000.0,73000.0,50,50000.0
121,61,74,2000.0,4622436.456796832,51,425000.0
122,68,83,9000.0,4300000.0,58,1700000.0
123,65,65,1000.0,4622436.456796832,64,550000.0
124,48,68,1000.0,165000.0,47,60000.0
125,64,75,1000.0,1200000.0,57,675000.0
126,69,70,2000.0,1800000.0,65,1200000.0
127,61,76,2000.0,1200000.0,58,475000.0
128,55,78,1000.0,428000.0,47,190000.0
129,66,72,2000.0,1500000.0,55,900000.0
130,72,72,14000.0,4622436.456796832,69,2400000.0
131,68,68,2000.0,608000.0,59,450000.0
132,64,64,4000.0,900000.0,66,450000.0
133,63,83,7000.0,1900000.0,62,650000.0
134,63,69,1000.0,659000.0,55,425000.0
135,65,65,1000.0,935000.0,49,425000.0
136,64,64,1000.0,473000.0,53,270000.0
137,72,75,1000.0,7100000.0,63,3300000.0
138,70,76,17000.0,4622436.456796832,66,2400000.0
139,66,67,3000.0,791000.0,58,575000.0
140,68,73,3000.0,1400000.0,62,875000.0
141,72,76,17000.0,7000000.0,68,3400000.0
142,65,65,3000.0,438000.0,66,250000.0
143,70,70,4000.0,1500000.0,66,1000000.0
144,59,62,1000.0,260000.0,41,160000.0
145,68,73,8000.0,2100000.0,61,975000.0
146,68,68,4000.0,1100000.0,62,700000.0
147,74,74,13000.0,5400000.0,77,2800000.0
148,58,69,1000.0,289000.0,39,170000.0
149,59,70,1000.0,357000.0,50,210000.0
150,67,70,2000.0,1100000.0,66,800000.0
151,64,64,1000.0,405000.0,52,300000.0
152,70,70,16000.0,2900000.0,66,1500000.0
153,52,72,1000.0,235000.0,50,100000.0
154,59,59,1000.0,163000.0,63,130000.0
155,70,79,5000.0,4900000.0,63,2700000.0
156,62,84,2000.0,1900000.0,53,650000.0
157,70,76,3000.0,4622436.456796832,64,2400000.0
158,64,82,8000.0,2400000.0,55,975000.0
159,57,70,3000.0,419000.0,54,180000.0
160,57,57,2000.0,129000.0,55,60000.0
161,65,74,5000.0,4622436.456796832,65,850000.0
162,63,65,3000.0,572000.0,57,375000.0
163,60,69,1000.0,529000.0,57,230000.0
164,56,70,2000.0,455000.0,51,180000.0
165,61,70,1000.0,536000.0,50,325000.0
166,63,65,1000.0,464000.0,56,350000.0
167,62,63,2000.0,534000.0,61,350000.0
168,59,59,1000.0,70000.0,53,40000.0
169,70,70,6000.0,935000.0,68,425000.0
170,69,69,4000.0,744000.0,68,425000.0
171,69,72,9000.0,2200000.0,65,1300000.0
172,70,70,3000.0,1100000.0,65,600000.0
173,64,69,1000.0,712000.0,53,425000.0
174,65,68,2000.0,1200000.0,55,675000.0
175,62,73,1000.0,675000.0,53,450000.0
176,70,75,6000.0,2900000.0,65,2000000.0
177,70,83,33000.0,7600000.0,62,3100000.0
178,68,68,4000.0,788000.0,69,525000.0
179,65,77,1000.0,1700000.0,58,850000.0
180,71,71,25000.0,3400000.0,70,1800000.0
181,66,72,3000.0,1300000.0,57,875000.0
182,68,82,4000.0,3800000.0,69,1800000.0
183,67,67,3000.0,798000.0,66,550000.0
184,71,72,26000.0,5500000.0,64,2800000.0
185,64,69,1000.0,663000.0,58,500000.0
186,54,64,1000.0,149000.0,51,90000.0
187,69,79,2000.0,1900000.0,65,1300000.0
188,64,70,1000.0,919000.0,62,525000.0
189,68,82,13000.0,4622436.456796832,64,1800000.0
190,68,78,8000.0,3300000.0,64,1500000.0
191,66,70,2000.0,877000.0,65,575000.0
192,57,66,1000.0,238000.0,57,140000.0
193,67,68,3000.0,1100000.0,67,850000.0
194,71,71,21000.0,4622436.456796832,73,2400000.0
195,70,70,6000.0,2600000.0,71,1800000.0
196,68,73,16000.0,2000000.0,60,1000000.0
197,65,65,7000.0,510000.0,58,300000.0
198,59,68,1000.0,420000.0,40,240000.0
199,71,75,8000.0,4800000.0,76,3100000.0
200,61,64,1000.0,358000.0,58,270000.0
201,67,71,8000.0,1500000.0,59,825000.0
202,56,63,1000.0,160000.0,54,110000.0
203,61,79,5000.0,1300000.0,54,500000.0
204,51,63,1000.0,98000.0,40,50000.0
205,63,73,1000.0,930000.0,52,600000.0
206,69,74,9000.0,2200000.0,67,1400000.0
207,74,75,8000.0,7900000.0,67,5000000.0
208,72,72,50000.0,4622436.456796832,66,1300000.0
209,70,70,24000.0,1000000.0,67,550000.0
210,52,67,1000.0,239000.0,54,110000.0
211,64,64,1000.0,341000.0,68,220000.0
212,62,63,1000.0,464000.0,61,350000.0
213,61,63,1000.0,428000.0,46,300000.0
214,68,75,5000.0,4622436.456796832,68,1100000.0
215,68,68,4000.0,1300000.0,64,875000.0
216,64,69,1000.0,713000.0,55,500000.0
217,61,62,2000.0,366000.0,58,240000.0
218,55,67,1000.0,232000.0,56,160000.0
219,73,78,1000.0,9900000.0,73,4500000.0
220,58,67,1000.0,290000.0,44,200000.0
221,61,76,9000.0,4622436.456796832,53,550000.0
222,74,74,1000.0,8800000.0,66,4200000.0
223,73,73,9000.0,3100000.0,63,2100000.0
224,73,73,10000.0,6000000.0,65,3800000.0
225,69,69,12000.0,1800000.0,70,925000.0
226,69,75,4000.0,2400000.0,65,1500000.0
227,71,71,7000.0,2900000.0,62,1800000.0
228,50,69,1000.0,119000.0,41,50000.0
229,68,72,1000.0,1400000.0,65,975000.0
230,66,66,3000.0,1100000.0,61,625000.0
231,63,63,3000.0,406000.0,70,325000.0
232,54,68,1000.0,309000.0,42,130000.0
233,71,71,21000.0,2300000.0,71,1400000.0
234,68,68,2000.0,878000.0,53,650000.0
235,71,71,6000.0,2600000.0,65,1700000.0
236,69,73,15000.0,2200000.0,63,1100000.0
237,61,61,1000.0,325000.0,60,260000.0
238,63,63,1000.0,450000.0,60,290000.0
239,56,65,4000.0,4622436.456796832,52,140000.0
240,72,72,5000.0,5100000.0,69,3200000.0
241,58,63,1000.0,219000.0,53,120000.0
242,73,73,23000.0,7900000.0,68,4200000.0
243,59,72,3000.0,707000.0,56,280000.0
244,69,69,9888.37143663562,4622436.456796832,63,2481203.67102012
245,47,61,1000.0,125000.0,39,60000.0
246,72,72,18000.0,1800000.0,72,950000.0
247,65,77,1000.0,1700000.0,63,975000.0
248,68,71,5000.0,1400000.0,63,950000.0
249,67,67,2000.0,240000.0,67,160000.0
250,71,71,7000.0,1300000.0,71,725000.0
251,70,85,32000.0,4622436.456796832,69,3900000.0
252,68,69,14000.0,1500000.0,61,825000.0
253,56,67,1000.0,174000.0,48,120000.0
254,70,79,11000.0,4622436.456796832,62,2800000.0
255,57,70,1000.0,338000.0,45,180000.0
256,49,74,1000.0,193000.0,50,70000.0
257,56,70,1000.0,319000.0,47,170000.0
258,65,72,3000.0,1800000.0,61,775000.0
259,65,65,2000.0,700000.0,57,400000.0
260,66,66,6000.0,866000.0,63,525000.0
261,60,63,1000.0,345000.0,60,260000.0
262,67,68,3000.0,1900000.0,68,875000.0
263,61,65,6000.0,385000.0,53,230000.0
264,61,67,1000.0,438000.0,49,250000.0
265,64,68,2000.0,763000.0,60,500000.0
266,62,62,1000.0,288000.0,60,230000.0
267,58,68,1000.0,272000.0,47,160000.0
268,58,67,1000.0,352000.0,43,190000.0
269,75,75,1000.0,9400000.0,75,4500000.0
270,60,75,4000.0,4622436.456796832,54,450000.0
271,75,75,47000.0,7400000.0,70,3900000.0
272,63,67,1000.0,551000.0,50,350000.0
273,63,66,1000.0,677000.0,58,475000.0
274,57,64,1000.0,248000.0,50,150000.0
275,69,69,3000.0,102000.0,66,70000.0
276,72,72,12000.0,4500000.0,66,3100000.0
277,62,73,2000.0,1000000.0,54,525000.0
278,67,67,1000.0,1100000.0,70,750000.0
279,67,67,16000.0,1100000.0,64,575000.0
280,65,65,1000.0,275000.0,56,220000.0
281,69,72,3000.0,2400000.0,59,1100000.0
282,61,71,2000.0,680000.0,57,400000.0
283,58,70,1000.0,290000.0,47,200000.0
284,74,74,9888.37143663562,4622436.456796832,79,2481203.67102012
285,67,70,3000.0,1300000.0,59,975000.0
286,67,79,6000.0,2500000.0,60,1200000.0
287,64,65,1000.0,570000.0,48,400000.0
288,67,67,11000.0,1100000.0,64,725000.0
289,63,63,1000.0,473000.0,66,350000.0
290,51,68,1000.0,138000.0,47,70000.0
291,70,74,5000.0,3800000.0,71,2300000.0
292,63,71,2000.0,761000.0,66,525000.0
293,64,69,1000.0,763000.0,55,500000.0
294,59,62,1000.0,228000.0,55,160000.0
295,59,79,5000.0,798000.0,46,280000.0
296,68,74,4000.0,2400000.0,54,1200000.0
297,73,77,7000.0,8000000.0,71,3700000.0
298,58,68,1000.0,347000.0,52,210000.0
299,70,79,7000.0,4000000.0,60,2400000.0
300,57,65,1000.0,218000.0,49,150000.0
301,69,69,8000.0,2200000.0,68,1100000.0
302,59,61,1000.0,229000.0,52,150000.0
303,64,72,3000.0,979000.0,57,675000.0
304,60,68,2000.0,585000.0,56,300000.0
305,55,55,1000.0,109000.0,54,70000.0
306,62,62,2000.0,263000.0,60,150000.0
307,65,68,3000.0,1200000.0,63,675000.0
308,63,73,2000.0,1000000.0,65,450000.0
309,65,65,4000.0,4622436.456796832,64,525000.0
310,65,65,1000.0,761000.0,63,525000.0
311,67,67,5000.0,4622436.456796832,61,625000.0
312,72,72,21000.0,4500000.0,68,2600000.0
313,64,64,3000.0,471000.0,68,325000.0
314,72,72,22000.0,4622436.456796832,70,3300000.0
315,60,72,1000.0,504000.0,58,325000.0
316,69,81,10000.0,4622436.456796832,56,1900000.0
317,68,70,1000.0,1200000.0,61,875000.0
318,59,66,2000.0,363000.0,57,220000.0
319,65,71,2000.0,1500000.0,59,750000.0
320,54,70,1000.0,263000.0,46,140000.0
321,69,69,11000.0,1900000.0,68,950000.0
322,65,75,3000.0,1600000.0,57,850000.0
323,71,71,4000.0,3100000.0,70,2000000.0
324,70,74,3000.0,2600000.0,64,2000000.0
325,66,73,2000.0,1100000.0,58,675000.0
326,76,76,22000.0,9800000.0,75,4700000.0
327,52,62,1000.0,111000.0,38,60000.0
328,70,74,3000.0,4200000.0,62,1900000.0
329,72,77,7000.0,9000000.0,71,4200000.0
330,66,72,2000.0,1400000.0,66,875000.0
331,58,65,2000.0,423000.0,56,180000.0
332,69,70,10000.0,4622436.456796832,67,1200000.0
333,72,74,3000.0,4200000.0,69,2600000.0
334,57,75,1000.0,436000.0,45,210000.0
335,59,67,1000.0,334000.0,48,230000.0
336,68,69,17000.0,4622436.456796832,55,1100000.0
337,62,79,2000.0,1500000.0,47,650000.0
338,69,78,6000.0,2400000.0,64,1400000.0
339,71,71,29000.0,3300000.0,71,1800000.0
340,58,60,2000.0,267000.0,61,120000.0
341,67,67,7000.0,1300000.0,61,725000.0
342,66,67,7000.0,1200000.0,62,625000.0
343,65,65,2000.0,200000.0,60,160000.0
344,60,67,9888.37143663562,4622436.456796832,47,2481203.67102012
345,67,72,2000.0,1200000.0,63,850000.0
346,65,65,3000.0,919000.0,56,525000.0
347,68,68,4000.0,875000.0,68,700000.0
348,62,62,2000.0,210000.0,79,120000.0
349,72,72,1000.0,4300000.0,72,2000000.0
350,60,72,1000.0,715000.0,59,325000.0
351,59,67,2000.0,4622436.456796832,52,230000.0
352,55,67,2000.0,232000.0,54,160000.0
353,59,75,3000.0,821000.0,53,325000.0
354,59,77,1000.0,642000.0,49,325000.0
355,62,66,1000.0,385000.0,52,270000.0
356,68,68,13000.0,1300000.0,63,700000.0
357,68,74,6000.0,4622436.456796832,65,1200000.0
358,64,64,1000.0,574000.0,56,425000.0
359,55,55,1000.0,105000.0,53,60000.0
360,60,65,2000.0,511000.0,54,280000.0
361,60,64,1000.0,413000.0,56,220000.0
362,64,79,2000.0,1800000.0,60,950000.0
363,64,65,3000.0,1000000.0,54,550000.0
364,70,70,9000.0,3400000.0,66,1800000.0
365,65,72,1000.0,943000.0,57,650000.0
366,56,66,1000.0,215000.0,54,130000.0
367,58,64,2000.0,254000.0,60,130000.0
368,52,70,1000.0,188000.0,50,100000.0
369,71,71,22000.0,3900000.0,73,2300000.0
370,68,69,7000.0,1700000.0,58,1100000.0
371,60,71,1000.0,504000.0,50,325000.0
372,57,69,1000.0,351000.0,53,180000.0
373,70,74,8000.0,3900000.0,68,2400000.0
374,60,65,1000.0,328000.0,53,230000.0
375,68,76,10000.0,4622436.456796832,64,1300000.0
376,61,70,1000.0,508000.0,56,290000.0
377,73,74,10000.0,6000000.0,72,3200000.0
378,70,80,9000.0,4800000.0,64,2800000.0
379,58,76,1000.0,494000.0,43,250000.0
380,62,62,3000.0,348000.0,64,240000.0
381,64,70,2000.0,1100000.0,63,600000.0
382,58,68,1000.0,295000.0,56,190000.0
383,66,70,2000.0,1000000.0,65,700000.0
384,58,67,1000.0,340000.0,44,200000.0
385,66,77,6000.0,4622436.456796832,65,1100000.0
386,57,69,4000.0,336000.0,52,160000.0
387,54,65,1000.0,140000.0,50,90000.0
388,69,74,4000.0,1900000.0,63,1200000.0
389,66,66,2000.0,641000.0,62,475000.0
390,69,69,6000.0,1300000.0,71,1000000.0
391,61,61,1000.0,203000.0,52,150000.0
392,67,85,11000.0,4000000.0,66,1600000.0
393,61,71,2000.0,683000.0,56,350000.0
394,57,66,1000.0,232000.0,52,160000.0
395,68,68,7000.0,4622436.456796832,61,600000.0
396,67,77,1000.0,2900000.0,68,1300000.0
397,68,74,3000.0,1800000.0,58,1000000.0
398,70,85,4000.0,9900000.0,72,3800000.0
399,59,66,1000.0,371000.0,59,190000.0
400,60,72,1000.0,563000.0,55,375000.0
401,59,74,1000.0,674000.0,56,325000.0
402,65,82,2000.0,2400000.0,70,1100000.0
403,63,71,1000.0,4622436.456796832,61,475000.0
404,69,75,1000.0,2400000.0,62,1100000.0
405,60,70,2000.0,683000.0,46,350000.0
406,63,63,2000.0,600000.0,55,400000.0
407,66,78,1000.0,2000000.0,61,1200000.0
408,63,64,7000.0,4622436.456796832,56,450000.0
409,72,72,20000.0,4700000.0,71,2800000.0
410,64,64,2000.0,760000.0,62,475000.0
411,68,68,3000.0,1000000.0,57,675000.0
412,69,69,10000.0,1100000.0,70,600000.0
413,57,67,2000.0,304000.0,49,160000.0
414,73,74,1000.0,10800000.0,70,4800000.0
415,69,69,3000.0,613000.0,64,350000.0
416,66,67,5000.0,4622436.456796832,62,625000.0
417,54,67,2000.0,4622436.456796832,50,130000.0
418,67,71,9000.0,2000000.0,65,1000000.0
419,61,77,4000.0,1300000.0,57,500000.0
420,70,77,3000.0,3600000.0,58,2500000.0
421,54,70,1000.0,263000.0,43,130000.0
422,72,72,24000.0,3600000.0,60,2100000.0
423,71,71,10000.0,2200000.0,63,1400000.0
424,64,81,7000.0,2300000.0,55,925000.0
425,64,66,3000.0,821000.0,52,450000.0
426,65,65,2000.0,744000.0,63,425000.0
427,63,73,2000.0,870000.0,54,600000.0
428,55,68,1000.0,263000.0,48,140000.0
429,63,63,3000.0,645000.0,63,300000.0
430,63,75,2000.0,1100000.0,50,550000.0
431,74,74,17000.0,7500000.0,68,5000000.0
432,73,73,6000.0,3900000.0,67,3100000.0
433,60,76,1000.0,778000.0,57,375000.0
434,66,67,3000.0,1200000.0,60,750000.0
435,70,85,17000.0,9600000.0,62,3800000.0
436,73,73,1000.0,8700000.0,70,4000000.0
437,57,69,6000.0,399000.0,46,190000.0
438,73,73,9888.37143663562,4622436.456796832,68,2481203.67102012
439,69,69,8000.0,1500000.0,64,1000000.0
440,64,67,1000.0,796000.0,54,475000.0
441,52,52,1000.0,50000.0,47,40000.0
442,49,72,1000.0,141000.0,40,60000.0
443,61,66,1000.0,455000.0,52,280000.0
444,58,76,8000.0,707000.0,42,280000.0
445,69,72,6000.0,1700000.0,69,875000.0
446,69,69,7000.0,1700000.0,65,825000.0
447,61,68,2000.0,525000.0,51,350000.0
448,57,73,1000.0,425000.0,51,200000.0
449,67,78,3000.0,2800000.0,62,1300000.0
450,63,65,1000.0,596000.0,64,450000.0
451,67,67,5000.0,863000.0,61,575000.0
452,63,66,2000.0,596000.0,56,450000.0
453,68,73,3000.0,1800000.0,65,1200000.0
454,66,71,5000.0,1500000.0,62,725000.0
455,68,68,1000.0,1200000.0,66,525000.0
456,62,70,3000.0,878000.0,62,450000.0
457,64,65,3000.0,648000.0,61,425000.0
458,70,77,16000.0,5300000.0,67,2500000.0
459,61,70,6000.0,4622436.456796832,56,375000.0
460,69,81,3000.0,3300000.0,65,1500000.0
461,63,68,2000.0,4622436.456796832,63,500000.0
462,62,67,1000.0,650000.0,58,400000.0
463,59,74,2000.0,756000.0,55,325000.0
464,64,70,1000.0,870000.0,64,600000.0
465,62,79,6000.0,1700000.0,47,675000.0
466,67,70,3000.0,1600000.0,60,950000.0
467,74,74,19000.0,5300000.0,74,2800000.0
468,69,69,1000.0,439000.0,63,325000.0
469,61,69,1000.0,619000.0,43,375000.0
470,55,72,1000.0,364000.0,51,160000.0
471,59,68,2000.0,408000.0,55,240000.0
472,59,59,2000.0,215000.0,55,100000.0
473,60,67,4000.0,4622436.456796832,51,300000.0
474,70,70,9000.0,3300000.0,65,1800000.0
475,63,63,3000.0,420000.0,59,240000.0
476,72,78,9888.37143663562,4622436.456796832,68,2481203.67102012
477,63,63,2000.0,409000.0,62,190000.0
478,65,65,1000.0,743000.0,64,550000.0
479,60,61,4000.0,302000.0,62,170000.0
480,73,73,7000.0,4000000.0,70,2300000.0
481,77,77,16000.0,2900000.0,75,2100000.0
482,66,66,3000.0,675000.0,61,500000.0
483,63,74,2000.0,906000.0,56,625000.0
484,64,65,1000.0,696000.0,64,525000.0
485,72,72,9888.37143663562,4622436.456796832,72,2481203.67102012
486,71,79,5000.0,6300000.0,65,3500000.0
487,69,69,3000.0,1400000.0,65,1000000.0
488,68,70,7000.0,2400000.0,62,1100000.0
489,68,68,5000.0,750000.0,53,375000.0
490,58,78,1000.0,525000.0,50,210000.0
491,68,69,2000.0,1200000.0,58,825000.0
492,60,60,2000.0,298000.0,51,170000.0
493,62,62,2000.0,508000.0,62,290000.0
494,58,72,1000.0,500000.0,54,230000.0
495,72,74,4000.0,6100000.0,72,3700000.0
496,67,67,4000.0,1100000.0,66,775000.0
497,61,71,1000.0,683000.0,54,350000.0
498,64,73,3000.0,1400000.0,49,675000.0
499,62,71,1000.0,743000.0,52,450000.0
500,58,78,2000.0,754000.0,53,260000.0
501,58,78,3000.0,725000.0,59,250000.0
502,52,60,1000.0,105000.0,40,60000.0
503,69,77,7000.0,2400000.0,67,1300000.0
504,64,80,2000.0,2000000.0,59,925000.0
505,70,72,1000.0,3200000.0,65,1500000.0
506,68,79,13000.0,4622436.456796832,65,1400000.0
507,69,69,5000.0,1300000.0,67,825000.0
508,70,72,5000.0,2400000.0,69,1800000.0
509,62,67,3000.0,534000.0,58,350000.0
510,57,65,1000.0,234000.0,55,120000.0
511,58,70,1000.0,368000.0,48,210000.0
512,63,63,3000.0,469000.0,68,375000.0
513,58,58,1000.0,63000.0,60,50000.0
514,70,70,6000.0,3600000.0,66,1900000.0
515,68,73,5000.0,2000000.0,64,1200000.0
516,60,80,1000.0,900000.0,56,375000.0
517,62,81,3000.0,1500000.0,56,650000.0
518,69,69,16000.0,938000.0,60,625000.0
519,71,73,23000.0,4600000.0,67,2900000.0
520,68,74,4000.0,1700000.0,65,1000000.0
521,67,67,2000.0,288000.0,66,180000.0
522,59,78,2000.0,756000.0,62,325000.0
523,66,68,4000.0,1100000.0,62,625000.0
524,66,73,3000.0,1500000.0,58,900000.0
525,53,68,1000.0,263000.0,45,100000.0
526,71,72,5000.0,3100000.0,66,1800000.0
527,71,72,11000.0,2900000.0,67,1900000.0
528,63,80,1000.0,1900000.0,64,775000.0
529,74,74,20000.0,5800000.0,67,3600000.0
530,74,74,14000.0,3200000.0,79,1700000.0
531,62,72,2000.0,978000.0,57,425000.0
532,66,72,2000.0,1400000.0,54,900000.0
533,65,78,11000.0,2300000.0,65,850000.0
534,65,69,3000.0,906000.0,65,575000.0
535,52,58,1000.0,85000.0,40,50000.0
536,70,70,3000.0,3000000.0,64,1900000.0
537,66,66,7000.0,760000.0,54,400000.0
538,73,73,23000.0,4000000.0,73,2100000.0
539,68,68,2000.0,350000.0,73,280000.0
540,63,80,4000.0,1800000.0,63,725000.0
541,65,72,3000.0,1800000.0,64,775000.0
542,68,71,5000.0,2000000.0,65,925000.0
543,54,67,1000.0,239000.0,52,110000.0
544,80,80,17000.0,4200000.0,78,2000000.0
545,71,73,12000.0,6000000.0,67,2900000.0
546,68,68,6000.0,1200000.0,61,750000.0
547,67,67,1000.0,1300000.0,54,600000.0
548,66,68,3000.0,1200000.0,64,650000.0
549,73,76,35000.0,9900000.0,64,5000000.0
550,65,72,2000.0,1300000.0,55,650000.0
551,68,68,6000.0,475000.0,64,250000.0
552,66,77,1000.0,1500000.0,62,975000.0
553,68,73,4000.0,1600000.0,64,1000000.0
554,69,74,7000.0,4622436.456796832,67,1200000.0
555,53,73,2000.0,270000.0,52,120000.0
556,71,71,10000.0,4622436.456796832,62,1500000.0
557,65,65,2000.0,543000.0,62,350000.0
558,70,78,30000.0,4622436.456796832,68,2700000.0
559,69,74,4000.0,3100000.0,73,1400000.0
560,68,68,3000.0,1200000.0,53,675000.0
561,70,70,9000.0,3100000.0,77,1600000.0
562,60,78,7000.0,1100000.0,50,450000.0
563,65,84,1000.0,3000000.0,64,1100000.0
564,71,71,1000.0,4100000.0,59,1900000.0
565,65,83,2000.0,2400000.0,65,1100000.0
566,68,76,3000.0,4622436.456796832,57,1100000.0
567,65,65,5000.0,798000.0,68,550000.0
568,68,68,4000.0,908000.0,62,550000.0
569,62,62,2000.0,319000.0,59,220000.0
570,65,68,2000.0,1200000.0,62,675000.0
571,63,67,1000.0,570000.0,59,400000.0
572,68,78,12000.0,4622436.456796832,64,1300000.0
573,49,59,1000.0,70000.0,42,40000.0
574,72,80,22000.0,8700000.0,75,4600000.0
575,72,73,5000.0,5400000.0,60,3700000.0
576,61,67,3000.0,667000.0,59,290000.0
577,65,66,3000.0,958000.0,64,525000.0
