overall_rating,potential,wage,release_clause_euro,club_rating,reactions,composure,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,value
65,68,0.00660793,0.004034297,67,57,56,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,475000
53,61,0,0.000515549,65,55,36,43,43,43,44,43,43,43,44,45,45,45,47,49,49,49,47,80000
71,82,0.028634361,0.038475977,72,66,64,64,64,64,70,68,68,68,70,69,69,69,71,70,70,70,71,4100000
67,67,0,0.002457617,68,65,62,63,63,63,67,66,66,66,67,68,68,68,68,67,67,67,68,325000
67,75,0.004405286,0.011447191,70,66,61,63,63,63,67,66,66,66,67,67,67,67,67,68,68,68,67,1100000
59,69,0.004405286,0.002027159,72,56,49,48,48,48,52,51,51,51,52,54,54,54,55,57,57,57,55,220000
57,71,0.00660793,0.002843028,70,50,55,54,54,54,58,57,57,57,58,57,57,57,58,54,54,54,58,230000
66,76,0.002202643,0.006942394,73,59,36,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,800000
71,76,0.044052863,0.025462117,73,71,56,72,72,72,70,71,71,71,70,68,68,68,69,62,62,62,69,3200000
60,64,0,0.001726839,62,57,57,57,57,57,61,60,60,60,61,61,61,61,61,60,60,60,61,270000
64,66,0.002202643,0.003368588,65,65,54,60,60,60,67,64,64,64,67,66,66,66,68,66,66,66,68,450000
71,74,0.017621145,0.018955187,68,66,62,46,46,46,43,43,43,43,43,44,44,44,46,51,51,51,46,2500000
65,72,0.004405286,0.023071754,66,60,61,64,64,64,66,65,65,65,66,64,64,64,65,58,58,58,65,750000
62,77,0.008810573,0.00794346,84,43,52,45,45,45,44,44,44,44,44,44,44,44,46,47,47,47,46,600000
70,74,0,0.021457853,71,68,55,59,59,59,63,61,61,61,63,61,61,61,65,62,62,62,65,1900000
62,64,0.002202643,0.001927052,67,58,63,56,56,56,59,58,58,58,59,60,60,60,60,61,61,61,60,300000
65,66,0.004405286,0.004079345,67,60,61,60,60,60,65,63,63,63,65,62,62,62,66,61,61,61,66,625000
73,74,0.022026432,0.039977576,72,78,66,73,73,73,74,75,75,75,74,73,73,73,72,66,66,66,72,4800000
67,67,0.008810573,0.006441861,68,63,63,67,67,67,67,67,67,67,67,66,66,66,67,64,64,64,67,750000
61,77,0.002202643,0.006942394,70,62,50,59,59,59,60,61,61,61,60,62,62,62,59,61,61,61,59,525000
70,70,0.017621145,0.01294879,69,57,64,65,65,65,64,63,63,63,64,63,63,63,65,64,64,64,65,1300000
62,75,0,0.004860176,64,59,45,57,57,57,60,58,58,58,60,57,57,57,61,57,57,57,61,525000
66,75,0.008810573,0.00794346,70,63,52,53,53,53,57,55,55,55,57,56,56,56,58,57,57,57,58,875000
72,73,0.033039648,0.030967981,77,71,65,65,65,65,68,68,68,68,68,70,70,70,69,73,73,73,69,3500000
63,63,0.002202643,0.002127266,67,47,57,60,60,60,64,62,62,62,64,62,62,62,64,56,56,56,64,350000
61,68,0,0.002487649,69,55,50,55,55,55,55,56,56,56,55,57,57,57,57,59,59,59,57,300000
62,68,0.019577911,0.023071754,67,60,58,56,56,56,59,59,59,59,59,60,60,60,60,62,62,62,60,2481203.671
63,76,0.00660793,0.008443993,70,59,60,59,59,59,62,61,61,61,62,63,63,63,63,63,63,63,63,675000
64,72,0.002202643,0.005440794,70,48,51,53,53,53,53,52,52,52,53,52,52,52,54,55,55,55,54,575000
60,75,0,0.004710016,80,57,40,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,350000
68,80,0.013215859,0.023071754,70,65,63,68,68,68,67,69,69,69,67,66,66,66,64,57,57,57,64,1600000
59,59,0,0.001101173,58,52,62,56,56,56,57,56,56,56,57,58,58,58,58,59,59,59,58,150000
64,68,0,0.002752932,64,58,46,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,425000
70,75,0.022026432,0.018454654,72,64,73,66,66,66,72,70,70,70,72,70,70,70,71,66,66,66,71,2400000
67,77,0.002202643,0.010446125,72,52,57,47,47,47,41,43,43,43,41,44,44,44,44,50,50,50,44,1000000
69,82,0.002202643,0.020456786,67,53,68,69,69,69,67,66,66,66,67,63,63,63,65,54,54,54,65,2000000
52,57,0,0.000435464,65,50,44,52,52,52,49,51,51,51,49,49,49,49,47,44,44,44,47,70000
50,67,0,0.000405432,67,43,39,36,36,36,33,33,33,33,33,32,32,32,35,34,34,34,35,50000
64,83,0.011013216,0.010946658,73,53,58,58,58,58,66,63,63,63,66,63,63,63,65,55,55,55,65,925000
71,72,0.037444934,0.026963716,72,69,74,71,71,71,71,73,73,73,71,73,73,73,72,72,72,72,72,2700000
74,75,0.024229075,0.041979708,73,70,68,62,62,62,68,66,66,66,68,67,67,67,70,69,69,69,70,5000000
53,67,0,0.000966029,65,47,51,38,38,38,36,36,36,36,36,36,36,36,38,39,39,39,38,110000
72,72,0.030837004,0.019956253,73,70,62,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,2000000
66,66,0.002202643,0.003743987,67,62,60,57,57,57,63,60,60,60,63,61,61,61,64,61,61,61,64,525000
64,69,0.004405286,0.005440794,66,54,45,42,42,42,39,39,39,39,39,39,39,39,41,43,43,43,41,500000
70,70,0.004405286,0.023071754,67,63,61,68,68,68,71,69,69,69,71,68,68,68,70,62,62,62,70,1700000
65,73,0.002202643,0.005941328,67,65,50,53,53,53,57,55,55,55,57,54,54,54,58,55,55,55,58,675000
52,56,0.002202643,0.000605645,66,48,50,50,50,50,51,50,50,50,51,50,50,50,52,50,50,50,52,60000
70,70,0.011013216,0.012448257,67,71,69,71,71,71,72,72,72,72,72,71,71,71,72,67,67,67,72,1700000
57,60,0,0.001121194,61,46,46,51,51,51,58,55,55,55,58,57,57,57,58,53,53,53,58,130000
63,74,0.002202643,0.005440794,71,56,39,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,500000
68,70,0.004405286,0.00794346,68,63,62,55,55,55,56,55,55,55,56,57,57,57,59,62,62,62,59,875000
51,69,0,0.000765816,63,49,49,50,50,50,54,52,52,52,54,54,54,54,54,51,51,51,54,70000
68,69,0.002202643,0.008944526,70,63,64,66,66,66,67,66,66,66,67,67,67,67,69,68,68,68,69,1000000
71,81,0.011013216,0.026463183,71,64,68,57,57,57,55,56,56,56,55,56,56,56,58,59,59,59,58,3300000
53,71,0,0.001121194,63,50,38,50,50,50,52,52,52,52,52,53,53,53,54,53,53,53,54,120000
55,65,0,0.001011077,64,41,39,37,37,37,33,33,33,33,33,32,32,32,33,33,33,33,33,130000
73,73,0.011013216,0.028465316,70,63,72,52,52,52,50,50,50,50,50,51,51,51,52,56,56,56,52,2700000
70,70,0.039647577,0.023071754,72,68,63,71,71,71,72,71,71,71,72,68,68,68,70,61,61,61,70,1900000
67,67,0.022026432,0.004689995,75,63,51,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,500000
72,77,0.015418502,0.027464249,72,69,71,67,67,67,73,71,71,71,73,71,71,71,73,70,70,70,73,3500000
58,72,0,0.002282431,64,51,39,46,46,46,49,46,46,46,49,47,47,47,51,50,50,50,51,250000
69,69,0.017621145,0.006441861,70,71,64,60,60,60,65,63,63,63,65,64,64,64,67,65,65,65,67,800000
70,70,0.011013216,0.00083589,70,64,75,61,61,61,63,64,64,64,63,67,67,67,63,69,69,69,63,120000
65,77,0.004405286,0.009945592,70,64,56,61,61,61,62,63,63,63,62,64,64,64,64,66,66,66,64,950000
68,69,0.015418502,0.007442927,70,69,54,48,48,48,51,49,49,49,51,52,52,52,53,56,56,56,53,875000
60,68,0.002202643,0.003178385,71,54,58,42,42,42,42,41,41,41,42,41,41,41,42,41,41,41,42,270000
52,60,0,0.000445474,64,54,45,50,50,50,52,50,50,50,52,50,50,50,52,46,46,46,52,70000
71,71,0.00660793,0.009945592,67,63,66,54,54,54,48,50,50,50,48,50,50,50,50,55,55,55,50,1600000
59,59,0,0.000500533,62,58,52,58,58,58,59,59,59,59,59,60,60,60,60,62,62,62,60,90000
53,59,0.002202643,0.000620661,62,51,51,54,54,54,57,55,55,55,57,56,56,56,56,53,53,53,56,70000
65,65,0.004405286,0.003879131,66,57,58,53,53,53,57,54,54,54,57,55,55,55,58,57,57,57,58,450000
51,58,0,0.00030032,64,50,39,52,52,52,51,51,51,51,51,52,52,52,52,51,51,51,52,50000
61,74,0.002202643,0.023071754,68,51,51,49,49,49,56,53,53,53,56,53,53,53,58,53,53,53,58,425000
68,83,0.017621145,0.021457853,76,58,71,64,64,64,71,68,68,68,71,69,69,69,71,66,66,66,71,1700000
65,65,0,0.023071754,67,64,65,62,62,62,65,63,63,63,65,63,63,63,66,62,62,62,66,550000
48,68,0,0.00076081,65,47,43,48,48,48,44,46,46,46,44,44,44,44,43,41,41,41,43,60000
64,75,0,0.005941328,68,57,63,50,50,50,53,53,53,53,53,56,56,56,56,59,59,59,56,675000
69,70,0.002202643,0.008944526,68,65,64,68,68,68,70,69,69,69,70,68,68,68,70,62,62,62,70,1200000
61,76,0.002202643,0.005941328,75,58,49,55,55,55,55,55,55,55,55,56,56,56,57,58,58,58,57,475000
55,78,0,0.002077212,67,47,48,51,51,51,56,55,55,55,56,56,56,56,56,51,51,51,56,190000
66,72,0.002202643,0.007442927,68,55,59,65,65,65,68,66,66,66,68,66,66,66,67,60,60,60,67,900000
72,72,0.028634361,0.023071754,66,69,54,66,66,66,67,66,66,66,67,65,65,65,69,65,65,65,69,2400000
68,68,0.002202643,0.002978172,66,59,71,63,63,63,67,67,67,67,67,68,68,68,67,64,64,64,67,450000
64,64,0.00660793,0.004439728,70,66,65,63,63,63,65,64,64,64,65,64,64,64,65,60,60,60,65,450000
63,83,0.013215859,0.009445059,82,62,65,58,58,58,60,60,60,60,60,61,61,61,61,62,62,62,61,650000
63,69,0,0.003233444,62,55,54,41,41,41,38,38,38,38,38,38,38,38,40,43,43,43,40,425000
65,65,0,0.004614915,69,49,62,58,58,58,63,61,61,61,63,62,62,62,65,63,63,63,65,425000
64,64,0,0.002302452,65,53,47,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,270000
72,75,0,0.035472779,76,63,63,60,60,60,53,55,55,55,53,54,54,54,55,58,58,58,55,3300000
70,76,0.035242291,0.023071754,69,66,65,66,66,66,66,68,68,68,66,69,69,69,67,70,70,70,67,2400000
66,67,0.004405286,0.003894147,69,58,61,53,53,53,53,53,53,53,53,53,53,53,55,56,56,56,55,575000
68,73,0.004405286,0.006942394,70,62,35,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,875000
72,76,0.035242291,0.034972245,73,68,67,60,60,60,54,55,55,55,54,54,54,54,56,58,58,58,56,3400000
65,65,0.004405286,0.002127266,62,66,60,65,65,65,64,63,63,63,64,62,62,62,62,58,58,58,62,250000
70,70,0.00660793,0.007442927,70,66,49,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,1000000
59,62,0,0.001236317,61,41,46,50,50,50,53,50,50,50,53,51,51,51,55,52,52,52,55,160000
68,73,0.015418502,0.010446125,77,61,57,62,62,62,65,63,63,63,65,63,63,63,66,63,63,63,66,975000
68,68,0.00660793,0.005440794,67,62,65,56,56,56,62,59,59,59,62,58,58,58,64,59,59,59,64,700000
74,74,0.026431718,0.026963716,71,77,66,69,69,69,74,73,73,73,74,74,74,74,74,69,69,69,74,2800000
58,69,0,0.001381471,69,39,41,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,170000
59,70,0,0.001721834,69,50,24,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,210000
67,70,0.002202643,0.005440794,67,66,60,56,56,56,57,56,56,56,57,56,56,56,60,59,59,59,60,800000
64,64,0,0.00196209,65,52,50,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,300000
70,70,0.033039648,0.01445039,74,66,62,54,54,54,62,58,58,58,62,60,60,60,64,61,61,61,64,1500000
52,72,0,0.001111183,67,50,38,51,51,51,52,52,52,52,52,52,52,52,54,53,53,53,54,100000
59,59,0,0.0007508,65,63,60,58,58,58,59,58,58,58,59,59,59,59,59,59,59,59,59,130000
70,79,0.008810573,0.024461051,69,63,72,66,66,66,72,70,70,70,72,70,70,70,71,65,65,65,71,2700000
62,84,0.002202643,0.009445059,75,53,43,61,61,61,63,62,62,62,63,63,63,63,63,62,62,62,63,650000
70,76,0.004405286,0.023071754,72,64,66,59,59,59,63,63,63,63,63,66,66,66,66,70,70,70,66,2400000
64,82,0.015418502,0.011947724,84,55,56,64,64,64,62,64,64,64,62,63,63,63,61,56,56,56,61,975000
57,70,0.004405286,0.002032164,72,54,46,39,39,39,36,37,37,37,36,36,36,36,38,39,39,39,38,180000
57,57,0.002202643,0.000580618,67,55,50,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,60000
65,74,0.008810573,0.023071754,67,65,45,65,65,65,67,68,68,68,67,67,67,67,67,62,62,62,67,850000
63,65,0.004405286,0.00279798,64,57,54,47,47,47,48,47,47,47,48,50,50,50,50,54,54,54,50,375000
60,69,0,0.002582751,75,57,28,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,230000
56,70,0.002202643,0.002212356,70,51,48,56,56,56,53,55,55,55,53,53,53,53,51,46,46,46,51,180000
61,70,0,0.002617788,67,50,49,45,45,45,43,43,43,43,43,42,42,42,44,44,44,44,44,325000
63,65,0,0.002257404,61,56,52,44,44,44,41,43,43,43,41,44,44,44,44,49,49,49,44,350000
62,63,0.002202643,0.002607777,66,61,55,62,62,62,65,65,65,65,65,63,63,63,64,58,58,58,64,350000
59,59,0,0.000285304,62,53,57,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,40000
70,70,0.011013216,0.004614915,72,68,53,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,425000
69,69,0.00660793,0.003658897,66,68,79,65,65,65,63,65,65,65,63,66,66,66,64,68,68,68,64,425000
69,72,0.017621145,0.010946658,68,65,69,67,67,67,70,70,70,70,70,71,71,71,71,67,67,67,71,1300000
70,70,0.004405286,0.005440794,68,65,71,65,65,65,70,69,69,69,70,70,70,70,70,68,68,68,70,600000
64,69,0,0.003498726,69,53,43,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,425000
65,68,0.002202643,0.005941328,64,55,65,62,62,62,66,64,64,64,66,64,64,64,65,58,58,58,65,675000
62,73,0,0.003313529,70,53,46,43,43,43,42,42,42,42,42,43,43,43,46,48,48,48,46,450000
70,75,0.011013216,0.01445039,75,65,65,60,60,60,64,62,62,62,64,63,63,63,67,66,66,66,67,2000000
70,83,0.070484581,0.037975444,85,62,64,56,56,56,59,60,60,60,59,64,64,64,61,67,67,67,61,3100000
68,68,0.00660793,0.003879131,69,69,72,67,67,67,69,69,69,69,69,69,69,69,69,68,68,68,69,525000
65,77,0,0.008443993,67,58,57,51,51,51,53,52,52,52,53,55,55,55,56,59,59,59,56,850000
71,71,0.052863436,0.016953055,72,70,69,57,57,57,61,60,60,60,61,61,61,61,64,64,64,64,64,1800000
66,72,0.004405286,0.006441861,63,57,61,65,65,65,67,66,66,66,67,66,66,66,66,63,63,63,66,875000
68,82,0.00660793,0.018955187,69,69,62,59,59,59,65,62,62,62,65,63,63,63,66,64,64,64,66,1800000
67,67,0.004405286,0.003929185,68,66,67,59,59,59,60,59,59,59,60,59,59,59,62,62,62,62,62,550000
71,72,0.055066079,0.027464249,70,64,73,66,66,66,69,69,69,69,69,72,72,72,69,70,70,70,69,2800000
64,69,0,0.003253465,62,58,45,53,53,53,55,54,54,54,55,56,56,56,58,61,61,61,58,500000
54,64,0,0.000680725,62,51,43,40,40,40,40,38,38,38,40,38,38,38,42,40,40,40,42,90000
69,79,0.002202643,0.009445059,65,65,48,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,1300000
64,70,0,0.00453483,67,62,47,42,42,42,40,39,39,39,40,40,40,40,43,46,46,46,43,525000
68,82,0.026431718,0.023071754,68,64,59,46,46,46,43,44,44,44,43,44,44,44,46,49,49,49,46,1800000
68,78,0.015418502,0.016452522,77,64,66,65,65,65,70,69,69,69,70,69,69,69,69,63,63,63,69,1500000
66,70,0.002202643,0.004324606,68,65,35,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,575000
57,66,0,0.001126199,71,57,47,48,48,48,49,48,48,48,49,50,50,50,51,52,52,52,51,140000
67,68,0.004405286,0.005440794,66,67,57,61,61,61,67,65,65,65,67,67,67,67,68,68,68,68,68,850000
71,71,0.044052863,0.023071754,72,73,76,71,71,71,66,68,68,68,66,65,65,65,65,61,61,61,65,2400000
70,70,0.011013216,0.01294879,66,71,69,71,71,71,65,67,67,67,65,63,63,63,63,57,57,57,63,1800000
68,73,0.033039648,0.009945592,76,60,56,59,59,59,61,60,60,60,61,61,61,61,62,64,64,64,62,1000000
65,65,0.013215859,0.002487649,69,58,50,47,47,47,44,44,44,44,44,44,44,44,46,47,47,47,46,300000
59,68,0,0.00203717,58,40,49,56,56,56,60,58,58,58,60,58,58,58,60,54,54,54,60,240000
71,75,0.015418502,0.023960518,68,76,57,72,72,72,71,72,72,72,71,69,69,69,68,59,59,59,68,3100000
61,64,0,0.001726839,63,58,56,49,49,49,49,49,49,49,49,50,50,50,50,52,52,52,50,270000
67,71,0.015418502,0.007442927,76,59,63,53,53,53,50,52,52,52,50,54,54,54,54,61,61,61,54,825000
56,63,0,0.000735784,67,54,50,49,49,49,53,51,51,51,53,51,51,51,54,49,49,49,54,110000
61,79,0.008810573,0.006441861,76,54,56,60,60,60,63,63,63,63,63,62,62,62,61,54,54,54,61,500000
51,63,0,0.000425453,64,40,37,43,43,43,46,43,43,43,46,41,41,41,47,40,40,40,47,50000
63,73,0,0.004589888,65,52,47,65,65,65,63,64,64,64,63,63,63,63,62,55,55,55,62,600000
69,74,0.017621145,0.010946658,71,67,73,70,70,70,66,68,68,68,66,66,66,66,65,59,59,59,65,1400000
74,75,0.015418502,0.039477043,69,67,67,51,51,51,49,50,50,50,49,53,53,53,54,61,61,61,54,5000000
72,72,0.107929515,0.023071754,73,66,66,55,55,55,52,54,54,54,52,56,56,56,54,62,62,62,54,1300000
70,70,0.050660793,0.004940261,72,67,70,47,47,47,38,43,43,43,38,44,44,44,41,53,53,53,41,550000
52,67,0,0.001131205,57,54,48,51,51,51,53,52,52,52,53,53,53,53,53,52,52,52,53,110000
64,64,0,0.001641748,68,68,68,56,56,56,58,58,58,58,58,61,61,61,60,65,65,65,60,220000
62,63,0,0.002257404,61,61,51,62,62,62,62,61,61,61,62,60,60,60,62,58,58,58,62,350000
61,63,0,0.002077212,62,46,57,53,53,53,60,58,58,58,60,61,61,61,61,61,61,61,61,300000
68,75,0.008810573,0.023071754,69,68,66,61,61,61,65,63,63,63,65,63,63,63,66,64,64,64,66,1100000
68,68,0.00660793,0.006441861,71,64,59,69,69,69,70,70,70,70,70,69,69,69,69,64,64,64,69,875000
64,69,0,0.003503731,67,55,50,57,57,57,62,59,59,59,62,58,58,58,62,57,57,57,62,500000
61,62,0.002202643,0.001766882,66,58,55,60,60,60,61,61,61,61,61,60,60,60,62,58,58,58,62,240000
55,67,0,0.001096167,63,56,42,54,54,54,56,56,56,56,56,56,56,56,57,56,56,56,57,160000
